frame,time_sec,elbow_angle,knee_angle
0,0.0,154.4,175.8
1,0.034,153.1,177.0
2,0.069,149.9,175.7
3,0.103,141.5,169.3
4,0.138,133.6,167.1
5,0.172,127.5,165.4
6,0.207,122.2,166.5
7,0.241,123.1,168.5
8,0.276,117.2,170.3
9,0.31,114.3,169.9
10,0.345,115.1,168.9
11,0.379,111.3,
12,0.414,108.9,
13,0.448,107.3,
14,0.483,105.4,
15,0.517,103.7,
16,0.552,104.1,
17,0.586,106.3,
18,0.621,109.4,
19,0.655,118.1,
20,0.69,121.5,
21,0.724,127.2,
22,0.759,128.5,
23,0.793,128.0,
24,0.828,127.2,
25,0.862,130.3,
26,0.897,132.7,
27,0.931,135.7,
28,0.966,140.2,
29,1.0,144.9,
30,1.035,148.4,
31,1.069,152.6,136.5
32,1.104,159.4,123.8
33,1.138,164.2,113.9
34,1.173,168.4,107.7
35,1.207,168.0,104.8
36,1.242,169.4,102.3
37,1.276,169.9,103.3
38,1.311,169.5,104.8
39,1.345,177.6,105.4
40,1.38,179.2,111.0
41,1.414,178.0,110.6
42,1.448,177.1,108.3
43,1.483,178.2,105.5
44,1.517,172.3,104.5
45,1.552,174.5,104.5
46,1.586,177.0,106.0
47,1.621,179.0,107.0
48,1.655,179.6,106.4
49,1.69,179.1,106.4
50,1.724,178.9,107.4
51,1.759,176.9,113.4
52,1.793,167.8,118.7
53,1.828,163.1,121.5
54,1.862,172.9,123.0
55,1.897,172.9,122.8
56,1.931,175.3,125.3
57,1.966,178.9,123.7
58,2.0,179.4,122.5
59,2.035,177.8,126.8
60,2.069,179.1,132.8
61,2.104,177.7,167.0
62,2.138,170.2,169.8
63,2.173,164.0,174.0
64,2.207,167.6,174.3
65,2.242,175.1,165.1
66,2.276,179.8,167.1
67,2.311,175.5,168.7
68,2.345,175.4,171.2
69,2.38,177.7,
70,2.414,179.2,
71,2.449,176.7,
72,2.483,176.4,
73,2.518,175.1,
74,2.552,171.8,
75,2.587,170.8,
76,2.621,178.2,
77,2.656,175.8,
78,2.69,176.9,
79,2.725,173.2,
80,2.759,171.3,
81,2.794,167.7,
82,2.828,166.6,
83,2.862,165.9,
84,2.897,167.1,
85,2.931,167.6,
86,2.966,168.3,
87,3.0,169.7,
88,3.035,161.8,
89,3.069,163.2,
90,3.104,129.7,
91,3.138,88.5,
92,3.173,16.0,
93,3.207,5.0,
94,3.242,11.5,
95,3.276,,
96,3.311,,
97,3.345,,
98,3.38,179.0,
99,3.414,178.3,
100,3.449,175.0,
101,3.483,171.5,
102,3.518,165.9,
103,3.552,165.4,
104,3.587,149.5,
105,3.621,151.5,
106,3.656,172.2,
107,3.69,162.6,145.7
108,3.725,177.7,
109,3.759,178.2,
110,3.794,178.2,
111,3.828,,
112,3.863,150.0,
113,3.897,123.2,109.5
114,3.932,88.2,117.1
115,3.966,101.2,138.7
116,4.001,91.8,158.8
117,4.035,85.9,177.1
118,4.07,72.2,177.4
119,4.104,109.3,164.7
120,4.139,119.6,124.1
121,4.173,116.5,87.7
122,4.208,105.3,86.6
123,4.242,89.1,70.3
124,4.276,85.1,59.1
125,4.311,106.4,77.4
126,4.345,147.4,102.6
127,4.38,172.2,120.6
128,4.414,176.8,161.7
129,4.449,168.1,174.4
130,4.483,31.5,178.6
131,4.518,123.1,173.8
132,4.552,68.7,169.8
133,4.587,,168.1
134,4.621,,167.1
135,4.656,,166.9
136,4.69,,169.1
137,4.725,,169.2
138,4.759,,165.0
139,4.794,,142.2
140,4.828,,127.6
141,4.863,,116.3
142,4.897,,108.3
143,4.932,,97.1
144,4.966,,89.9
145,5.001,,81.7
146,5.035,,81.6
147,5.07,,
148,5.104,,
149,5.139,,
150,5.173,,
151,5.208,,
152,5.242,,
153,5.277,,
154,5.311,,
155,5.346,,
156,5.38,,
157,5.415,,
158,5.449,,
159,5.484,,
160,5.518,,
161,5.553,,
162,5.587,,
163,5.622,,
164,5.656,,
165,5.691,,
166,5.725,,
167,5.759,,
168,5.794,,
169,5.828,,
170,5.863,,
171,5.897,,
172,5.932,,
173,5.966,,
174,6.001,,
175,6.035,,
176,6.07,,
177,6.104,,
178,6.139,,
