frame,time_sec,elbow_angle,knee_angle,shoulder_angle,trunk_lean,hip_height,wrist_height,wrist_above_head,wrist_ahead_of_shoulder,torso_px
0,0.0,,,,,,,,,
1,0.034,,,,,,,,,
2,0.069,,,,,,,,,
3,0.103,,,,,,,,,
4,0.138,,,,,,,,,
5,0.172,,,,,,,,,
6,0.207,,,,,,,,,
7,0.241,,,,,,,,,
8,0.276,,,,,,,,,
9,0.31,,,,,,,,,
10,0.345,,,,,,,,,
11,0.379,,,,,,,,,
12,0.414,,,,,,,,,
13,0.448,,,,,,,,,
14,0.483,,,,,,,,,
15,0.517,,,,,,,,,
16,0.552,,,,,,,,,
17,0.586,,,,,,,,,
18,0.621,,,,,,,,,
19,0.655,,,,,,,,,
20,0.69,,,,,,,,,
21,0.724,,,,,,,,,
22,0.759,,,,,,,,,
23,0.793,,,,,,,,,
24,0.828,,,,,,,,,
25,0.862,,,,,,,,,
26,0.897,,,,,,,,,
27,0.931,,,,,,,,,
28,0.966,,,,,,,,,
29,1.0,,,,,,,,,
30,1.035,,,,,,,,,
31,1.069,,,,,,,,,
32,1.104,,,,,,,,,
33,1.138,,,,,,,,,
34,1.173,,,,,,,,,
35,1.207,,,,,,,,,
36,1.241,,,,,,,,,
37,1.276,,,,,,,,,
38,1.31,,,,,,,,,
39,1.345,,,,,,,,,
40,1.379,,,,,,,,,
41,1.414,,,,,,,,,
42,1.448,,,,,,,,,
43,1.483,,,,,,,,,
44,1.517,,,,,,,,,
45,1.552,,,,,,,,,
46,1.586,,,,,,,,,
47,1.621,,,,,,,,,
48,1.655,,,,,,,,,
49,1.69,,,,,,,,,
50,1.724,,,,,,,,,
51,1.759,,,,,,,,,
52,1.793,,,,,,,,,
53,1.828,,,,,,,,,
54,1.862,,,,,,,,,
55,1.897,,,,,,,,,
56,1.931,,,,,,,,,
57,1.966,,,,,,,,,
58,2.0,,,,,,,,,
59,2.035,,,,,,,,,
60,2.069,,,,,,,,,
61,2.104,,,,,,,,,
62,2.138,,,,,,,,,
63,2.173,,,,,,,,,
64,2.207,,,,,,,,,
65,2.242,,,,,,,,,
66,2.276,,,,,,,,,
67,2.311,,,,,,,,,
68,2.345,,,,,,,,,
69,2.38,,,,,,,,,
70,2.414,,,,,,,,,
71,2.449,,,,,,,,,
72,2.483,,,,,,,,,
73,2.517,,,,,,,,,
74,2.552,,,,,,,,,
75,2.586,,,,,,,,,
76,2.621,,,,,,,,,
77,2.655,,,,,,,,,
78,2.69,,,,,,,,,
79,2.724,,,,,,,,,
80,2.759,,,,,,,,,
81,2.793,,,,,,,,,
82,2.828,,,,,,,,,
83,2.862,,,,,,,,,
84,2.897,,,,,,,,,
85,2.931,,,,,,,,,
86,2.966,,,,,,,,,
87,3.0,,,,,,,,,
88,3.035,,,,,,,,,
89,3.069,,,,,,,,,
90,3.104,,,,,,,,,
91,3.138,,,,,,,,,
92,3.173,,,,,,,,,
93,3.207,,,,,,,,,
94,3.242,,,,,,,,,
95,3.276,,,,,,,,,
96,3.311,,,,,,,,,
97,3.345,,,,,,,,,
98,3.38,,,,,,,,,
99,3.414,,,,,,,,,
100,3.449,,,,,,,,,
101,3.483,,,,,,,,,
102,3.518,,,,,,,,,
103,3.552,,,,,,,,,
104,3.587,,,,,,,,,
105,3.621,,,,,,,,,
106,3.656,,,,,,,,,
107,3.69,,,,,,,,,
108,3.724,96.8,,20.9,33.5,0.464,0.4,-1.272,0.309,99.0
109,3.759,85.6,,39.0,38.0,0.449,0.544,-1.022,0.423,105.5
110,3.793,84.2,,48.9,39.3,0.323,0.72,-0.835,0.451,106.2
111,3.828,79.6,,52.3,37.0,0.295,0.898,-0.7,0.475,106.9
112,3.862,78.8,,51.1,33.2,0.355,0.959,-0.654,0.379,108.6
113,3.897,,,,28.8,0.391,1.026,-0.647,0.373,109.1
114,3.931,,,,27.1,0.392,1.047,-0.694,0.277,109.1
115,3.966,,,,20.2,0.385,,,,108.6
116,4.0,,,,23.2,0.408,,,,106.9
117,4.035,159.1,,44.1,26.7,0.749,0.932,-1.145,0.322,91.3
118,4.069,162.9,,39.7,24.4,0.681,0.795,-1.246,0.34,90.7
119,4.104,159.6,,35.4,22.5,0.629,0.674,-1.413,0.383,89.5
120,4.138,161.9,49.2,29.3,19.4,0.647,0.628,-1.495,0.328,89.2
121,4.173,164.3,65.2,23.8,15.6,0.685,0.601,-1.492,0.291,89.2
122,4.207,165.1,84.8,19.9,13.0,0.708,0.61,-1.509,0.265,89.2
123,4.242,168.4,96.1,14.3,8.4,0.73,0.653,-1.525,0.215,88.3
124,4.276,169.0,161.9,7.1,7.4,0.921,0.846,-1.401,-0.155,82.8
